date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game
2023-10-24,MIN,0,2,2,0,2,22.633333333333333,L,4,7,,regular_season,2023-24,False,3.0,False,1.8,3.2073
2023-10-26,NYR,0,0,0,0,3,21.266666666666666,L,0,3,,regular_season,2023-24,False,2.0,False,2.0,2.7927
2023-10-29,CGY,0,2,2,3,3,24.916666666666668,W,5,2,,regular_season,2023-24,False,3.0,False,1.6,3.3049
2023-11-02,DAL,0,0,0,-1,3,25.966666666666665,L,3,4,,regular_season,2023-24,False,4.0,False,1.2,2.8537
2023-11-04,NSH,0,0,0,-2,1,20.016666666666666,L,2,5,,regular_season,2023-24,False,2.0,False,1.2,3.0244
2023-11-06,VAN,1,0,1,-1,5,15.683333333333334,L,2,6,,regular_season,2023-24,False,2.0,False,0.8,2.7195
2023-11-09,SJS,0,1,1,-1,5,23.6,L,2,3,,regular_season,2023-24,False,3.0,False,0.6,4.0366
2023-11-11,SEA,0,0,0,0,4,20.866666666666667,W,4,1,,regular_season,2023-24,False,2.0,False,0.8,2.878
2023-11-13,NYI,1,3,4,2,2,18.98333333333333,W,4,1,,regular_season,2023-24,False,2.0,False,0.4,3.2073
2023-11-15,SEA,0,2,2,3,5,22.966666666666665,W,4,3,,regular_season,2023-24,False,2.0,False,1.2,2.878
2023-11-18,TBL,0,0,0,-2,1,23.25,L,4,6,,regular_season,2023-24,False,3.0,False,1.6,3.2683
2023-11-20,FLA,0,1,1,-2,4,25.28333333333333,L,3,5,,regular_season,2023-24,False,2.0,False,1.4,2.439
2023-11-22,CAR,0,1,1,-4,2,19.8,L,3,6,,regular_season,2023-24,False,2.0,False,1.4,2.6341
2023-11-24,WSH,2,1,3,1,3,17.016666666666666,W,5,0,,regular_season,2023-24,False,2.0,False,1.6,3.1341
2023-11-26,ANA,1,1,2,1,1,17.4,W,8,2,,regular_season,2023-24,False,2.0,False,1.4,3.5976
2023-11-28,VGK,0,0,0,1,3,24.566666666666663,W,5,4,,regular_season,2023-24,False,2.0,False,1.4,2.9878
2023-11-30,WPG,1,0,1,0,3,22.016666666666666,W,3,1,,regular_season,2023-24,False,2.0,False,1.4,2.4268
2023-12-06,CAR,0,0,0,-1,1,18.05,W,6,1,,regular_season,2023-24,False,6.0,False,1.4,2.6341
2023-12-08,MIN,1,1,2,-1,2,20.916666666666668,W,4,3,,regular_season,2023-24,False,2.0,False,1.2,3.2073
2023-12-10,NJD,0,1,1,0,2,20.1,W,4,1,,regular_season,2023-24,False,2.0,False,1.0,3.4512
2023-12-12,CHI,1,0,1,1,2,18.383333333333333,W,4,1,,regular_season,2023-24,False,2.0,False,0.8,3.5366
2023-12-14,TBL,0,0,0,-2,7,21.966666666666665,L,4,7,,regular_season,2023-24,False,2.0,False,1.0,3.2683
2023-12-16,FLA,0,0,0,-2,0,17.533333333333335,L,1,5,,regular_season,2023-24,False,2.0,False,0.8,2.439
